"","----","NO HEADER "," -------- ","NO HEADER"," ------- ","","","","","",""
"","----","NO HEADER "," -------- ","NO HEADER"," ------- ","","","","","",""
"Report (H520000)","H520000[00000]","H520000[00100]","H520000[00200]", ,"H520000[00400]"
"Line(00100)", , ,"187108", ,"1254690"
"Line(00400)", , ,"187108", ,"1254690"
"Line(00602)", , , , ,"105"
"Line(00700)", , ,"187108"