4090 (Cont.),,,FORM CMS-2552-10,,,,,08-11,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
APPORTIONMENT OF INPATIENT ANCILLARY ,,, PROVIDER CCN: ______________,, PERIOD:,," WORKSHEET D,",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
SERVICE CAPITAL COSTS,,,,, FROM ____________,, PART II,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,, COMPONENT CCN: ____________,, TO _______________,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Check,,   [ ]  Title V,,   [ ]  Hospital,     [ ]  Subprovider (Other),,   [ ]  PPS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
applicable,,"   [ ]  Title XVIII, Part A",,   [ ]  IPF,,,   [ ]  TEFRA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
boxes:,,   [ ]  Title XIX,,   [ ]  IRF,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,Capital,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,Related Cost,,Ratio of Cost,,Capital,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,(from Wkst.,Total Charges,to Charges,Inpatient,Costs,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,"B, Part II,","(from Wkst. C,",(col .1 ÷,Program,(column 3 x ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,col. 26),"Part I, col. 8)",col. 2),Charges,column 4),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
(A),Cost Center Description,,1 ,2 ,3 ,4 ,5 ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,ANCILLARY SERVICE COST CENTERS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
50 , Operating Room,,,,,,,50 ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
51 , Recovery Room,,,,,,,51 ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
52 , Labor Room and Delivery Room,,,,,,,52 ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
53 , Anesthesiology,,,,,,,53 ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
54 , Radiology-Diagnostic,,,,,,,54 ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
55 , Radiology-Therapeutic,,,,,,,55 ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
56 , Radioisotope,,,,,,,56 ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
57 , Computed Tomography (CT) Scan,,,,,,,57 ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
58 , Magnetic Resonance Imaging (MRI),,,,,,,58 ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
59 , Cardiac Catheterization,,,,,,,60 ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
60 , Laboratory,,,,,,,60 ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
61 , PBP Clinical Laboratory Services-Prgm. Only,,,,,,,61 ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
62 , Whole Blood & Packed Red Blood Cells,,,,,,,62 ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
63 ," Blood Storing, Processing, & Transfusing",,,,,,,63 ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
64 , Intravenous Therapy,,,,,,,64 ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
65 , Respiratory Therapy,,,,,,,65 ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
66 , Physical Therapy,,,,,,,66 ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
67 , Occupational Therapy,,,,,,,67 ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
68 , Speech Pathology,,,,,,,68 ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
69 , Electrocardiology,,,,,,,69 ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
70 , Electroencephalography,,,,,,,70 ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
71 , Medical Supplies Charged to Patients,,,,,,,71 ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
72 , Implantable Devices Charged to Patients,,,,,,,72 ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
73 , Drugs Charged to Patients,,,,,,,73 ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
74 , Renal Dialysis,,,,,,,74 ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
75 , ASC (Non-Distinct Part),,,,,,,75 ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
76 , Other Ancillary (specify),,,,,,,76 ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
88 , Rural Health Clinic (RHC),,,,,,,88 ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
89 , Federally Qualified Health Center (FQHC),,,,,,,89 ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
90 , Clinic,,,,,,,90 ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
91 , Emergency,,,,,,,91 ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
92 , Observation Beds,,,,,,,92 ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
93 , Other Outpatient Service (specify),,,,,,,93 ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,OTHER REIMBURSABLE COST CENTERS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
94 , Home Program Dialysis,,,,,,,94 ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
95 , Ambulance Services,,,,,,,95 ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
96 , Durable Medical Equipment-Rented,,,,,,,96 ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
97 , Durable Medical Equipment-Sold,,,,,,,97 ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
98 , Other Reimbursable (specify),,,,,,,98 ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
200 , Total (sum of lines 50 through 199),,,,,,,200 ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
(A) Worksheet A line numbers,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"FORM CMS-2552-10 (08/2011) (INSTRUCTIONS FOR THIS WORKSHEET ARE PUBLISHED IN CMS PUB. 15-II, SECTION 4024.2)",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
40-568,,,,,,,,Rev. 2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
